VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2021-03-01 00:29:26,2021-03-01 00:35:22,1,1.30,1,N,148,232,2,6.5,3,0.5,0,0,0.3,10.3,2.5
1,2021-03-01 00:00:03,2021-03-01 00:17:08,0,4.70,1,Y,186,75,2,17,3,0.5,0,0,0.3,20.8,2.5
1,2021-03-01 00:23:45,2021-03-01 00:27:45,1,1.50,1,N,263,141,2,6.5,3,0.5,0,0,0.3,10.3,2.5
1,2021-03-01 00:32:03,2021-03-01 00:37:35,1,2.30,1,N,141,107,1,8,3,0.5,2,0,0.3,13.8,2.5
2,2021-03-01 00:01:45,2021-03-01 00:28:34,1,20.02,2,N,132,244,1,52,0,0.5,3,6.12,0.3,61.92,0
2,2021-03-01 00:42:23,2021-03-01 00:54:44,1,5.28,1,N,132,215,2,17,0.5,0.5,0,0,0.3,18.3,0
2,2021-03-01 00:55:44,2021-03-01 01:23:52,2,19.64,2,N,132,166,1,52,0,0.5,10,6.12,0.3,68.92,0
2,2021-03-01 00:29:31,2021-03-01 00:45:02,1,3.80,1,N,230,41,1,14.5,0.5,0.5,3.66,0,0.3,21.96,2.5
2,2021-03-01 00:51:12,2021-03-01 00:57:10,1,.88,1,N,43,75,1,6,0.5,0.5,1,0,0.3,8.3,0
2,2021-03-01 00:07:33,2021-03-01 00:12:12,1,1.00,1,N,90,113,1,5.5,0.5,0.5,0.7,0,0.3,10,2.5
2,2021-03-01 00:18:15,2021-03-01 00:23:14,1,1.67,1,N,186,48,1,7,0.5,0.5,2.16,0,0.3,12.96,2.5
2,2021-03-01 00:33:57,2021-03-01 00:34:50,1,.35,1,N,249,249,1,3,0.5,0.5,0,0,0.3,6.8,2.5
2,2021-03-01 00:11:26,2021-03-01 00:31:00,1,11.40,1,N,132,82,1,32.5,0.5,0.5,6.76,0,0.3,40.56,0
1,2021-03-01 00:09:17,2021-03-01 00:25:01,1,7.20,1,N,138,166,1,22,0.5,0.5,0,6.12,0.3,29.42,0
1,2021-03-01 00:51:26,2021-03-01 01:11:38,1,6.40,1,N,7,125,1,20.5,3,0.5,7.25,0,0.3,31.55,2.5
2,2021-03-01 00:01:09,2021-03-01 00:28:39,1,11.72,1,N,132,36,2,35,0.5,0.5,0,0,0.3,36.3,0
2,2021-02-28 23:58:37,2021-03-01 00:04:38,1,1.29,1,N,48,90,1,6.5,0.5,0.5,4,0,0.3,14.3,2.5
2,2021-03-01 00:21:01,2021-03-01 00:27:15,1,1.50,1,N,113,68,1,7,0.5,0.5,1.75,0,0.3,12.55,2.5
2,2021-03-01 00:45:03,2021-03-01 01:06:40,1,7.86,1,N,249,116,2,25,0.5,0.5,0,0,0.3,28.8,2.5
2,2021-03-01 00:11:38,2021-03-01 00:19:14,1,2.70,1,N,234,143,1,9.5,0.5,0.5,2,0,0.3,15.3,2.5
2,2021-03-01 00:22:10,2021-03-01 00:28:53,1,2.02,1,N,50,164,1,8,0.5,0.5,2.36,0,0.3,14.16,2.5
2,2021-03-01 00:40:25,2021-03-01 00:44:27,1,2.08,1,N,113,230,1,7.5,0.5,0.5,2.26,0,0.3,13.56,2.5
2,2021-03-01 00:06:40,2021-03-01 00:19:35,1,5.29,1,N,162,88,1,17,0.5,0.5,0,0,0.3,20.8,2.5
1,2021-03-01 00:36:54,2021-03-01 00:39:55,1,.50,1,Y,68,246,3,4.5,3,0.5,0,0,0.3,8.3,2.5
